17681559226,1768155922620169913966131537380212941600
669077311800121188299737,6690773118001211882997373198910060609668
illumin,illuminated
3081751126989851,3081751126989851884087185640260353055837
80649908459,8064990845917962030569156680618082658692
630619718033957,6306197180339579795225395086974325465026
380775231896468940,3807752318964689404303318214865563701469
701504495496412454361656210150919997862,7015044954964124543616562101509199978629
impoveris,impoverishment
373574470836621537747097266018,3735744708366215377470972660188656210681
childr,children
pretend,pretended
101212443,1012124434092813146597602213604162230311
097690456341576573395549,0976904563415765733955495884489480936040
23632912367052542145464162968910,2363291236705254214546416296891044298163
9583994708095,9583994708095478886350328112962689923111
72957035,7295703519238768640554427813416980724938
338750216344391014,3387502163443910141875767119389144162771
coali,coaling
7822976841001176579870981857251313,7822976841001176579870981857251313722677
358438405767329826816344864670743999091,3584384057673298268163448646707439990917
10465543891651509541873060710150,1046554389165150954187306071015034430609
anesthet,anesthetic
pretent,pretentious
790415,7904159804399212488984866079504501170116
disastr,disastrous
additio,additional
conflagrati,conflagration
268831328947055389135729070696,2688313289470553891357290706967599556298
21865459971596639015641941751820935932,2186545997159663901564194175182093593261
31651406622917122342937580614,3165140662291712234293758061439934849143
2,20
65184591314379,6518459131437946494086272149669719100359
remai,remain
6,60
002908668305431787009,0029086683054317870093550669443891319133
5097214331492586604248511,5097214331492586604248511405819579711564
8843908788792621882023055299371,8843908788792621882023055299371323971943
botanis,botanist
2823764648042,2823764648042953118023287825098194558153
2646591320356012187593379163966,2646591320356012187593379163966643728283
flie,flies
1958461065596332728348560,1958461065596332728348560957030557250249
76932055491186015351955165462794,7693205549118601535195516546279411755939
30817511269898518,3081751126989851884087185640260353055837
5747483628,5747483628461680936365097379090020411852
flim,flimsy
245016681534121350527857853933,2450166815341213505278578539332606110249
256043696061101938427238831075,2560436960611019384272388310758777165359
14321400450,1432140045051394142899835057603879934335
glaci,glacier
11733178077414975571,1173317807741497557116733034632008408954
63347383890177597142362230577,6334738389017759714236223057776395541011
b,but
12395782602489783714735568,1239578260248978371473556820782675452142
supercom,supercomputer
f,for
3672,3672084593164394941881138607974670134709
4392559862052140905234625084783048704,4392559862052140905234625084783048704649
j,just
182652735100803165995888881480994573729,1826527351008031659958888814809945737293
5780611015522102244866332,5780611015522102244866332471843670355023
911802493660517914853,9118024936605179148533042104389977301926
305726221110458330078,3057262211104583300789331698191603917150
n,not
018276,0182766336227978104546331131294044833570
55623580,5562358098672563820056521551995179355106
7313477761341509652624483327093,7313477761341509652624483327093438984120
r,right
078313428,0783134286180750497175747373730296280477
8522218307,8522218307553061183933269341644594153426
78991286820,7899128682070544897997731969557437452970
2675424975710520894362639501,2675424975710520894362639501382962152214
04459626327934637721151028545472312,0445962632793463772115102854547231288003
76152048829,7615204882969091046891676715553733466225
v,very
gladn,gladness
myridg,myridge
675232839168886537375133579,6752328391688865373751335794859860107569
z,zeus
salari,salaries
47940490926017,4794049092601715727439368569721862936007
3683,3683080426309910481567503623509654924302
3416534893,3416534893431149175314953530067419744979
6533637531929596772608,6533637531929596772608085345765227471404
mssta,msstate
628817949599715452212506674611,6288179495997154522125066746117439488443
3460377687292,3460377687292360013865695939523007680913
huddle,huddled
790455,7904552004961858377772104804663553380661
10471991027562358645341748631,1047199102756235864534174863172655639132
69319626,6931962642014042788365702610390456105151
myriad,myriads
302668422150335,3026684221503351177364718538723240404210
08838267618458756361026435182951815392,0883826761845875636102643518295181539245
3676,3676459875488726170687163109591315801609
2921598640493324648104,2921598640493324648104077307661169160558
fictio,fiction
0544610739794024751844,0544610739794024751844155581780879628222
30817511269898518840871856402603530,3081751126989851884087185640260353055837
3690,3690321031976898112055595369465424704173
498861657094846665770,4988616570948466657706745770002071443325
844250569536967707854499,8442505695369677078544996996794686445490
3694,3694150848886750189315699484983893605266
09439960917635456879900281451,0943996091763545687990028145151697437175
9269436457835781560850330339,9269436457835781560850330339246603955379
4461779,4461779564375239174292850398702258373406
2870912311383,2870912311383472485146035661382188014840
scholarl,scholarly
328831440322798049274104403,3288314403227980492741044039217614384057
9916775183768315998212632371238543,9916775183768315998212632371238543573126
836228970995989,8362289709959898340548496228428939846984
remem,remember
42142561071896846626335874414976973,4214256107189684662633587441497697392156
48060404373727718347690147,4806040437372771834769014720664234434374
96705218472127303279707382238605819,9670521847212730327970738223860581986744
997894043908474435969720520659990178285,9978940439084744359697205206599901782853
acrony,acronyms
plannin,planning
50972143314925866042485114,5097214331492586604248511405819579711564
6160296,6160296211357005663834799033404962387594
38217862260999,3821786226099916008675244626545702896906
9230718624545432220395527352952402459,9230718624545432220395527352952402459038
6521469602766258359,6521469602766258359905198704230017946553
509332878567067467738122675283165355,5093328785670674677381226752831653559245
2945234880983414766455593422094020597,2945234880983414766455593422094020597334
2542366,2542366067745004134157943121125012752322
motiva,motivation
104719,1047199102756235864534174863172655639132
61905017724662145875923744186575300,6190501772466214587592374418657530064998
5912358504928302,5912358504928302883293448928459137362162
clevelan,cleveland
01993735976037046724,0199373597603704672457378809679398944937
4222111527362762786723,4222111527362762786723666658457575595854
motive,motives
1036,1036312189912421733955068877864313075002
384845712947673898562939376419144,3848457129476738985629393764191440703650
skyli,skylight
03516410189902752936686743183495544,0351641018990275293668674318349554474581
monstro,monstrous
319726929845166833069195050799,3197269298451668330691950507999335725916
offe,offer
4384605963,4384605963258204688096677957090446458846
offa,offal
duplicat,duplicate
enquir,enquired
57017823038096567883,5701782303809656788311228930580914057261
offi,office
87380126740538923612230370,8738012674053892361223037077972702519134
990422556804146313130,9904225568041463131309240101049368241449
858427872190232598107,8584278721902325981078345939707382251471
weathe,weather
50600754365525758905546552402,5060075436552575890554655240210341286212
1047,1047199102756235864534174863172655639132
4139865507522507808919352104173963,4139865507522507808919352104173963493428
poignant,poignantly
130254379660094310450015,1302543796600943104500158604854027036789
812319,8123196025337336774379706877138147475521
4456548526356617201975630015,4456548526356617201975630015800497902234
unreasonabl,unreasonable
95829602910746,9582960291074690160945128845655007145809
803792477835540018117452957747339714012,8037924778355400181174529577473397140123
1061,1061615543708329950285490365961736272655
00446,0044694903205883829492361391928430524916
700468665,7004686656825857982732387515830256672015
6412795535364422,6412795535364422869554305513087000098785
cordiall,cordially
1058,1058567196636796167140097031535132386972
floo,floor
4264818473989215627,4264818473989215627086095650629340405264
524636327416192699904615958957939406,5246363274161926999046159589579394062298
50289504845758221618,5028950484575822161887397443918833085509
3735744708366215377470972660188,3735744708366215377470972660188656210681
flow,flowers
3978098192,3978098192019726759010749924884966139441
