525714904543,5257149045432792519079400711150478537803
350708252600468212428204343672458,3507082526004682124282043436724582447885
663353633190041343328443476300679820237,6633536331900413433284434763006798202371
diaphan,diaphanous
79867392080384563372331198385586263800,7986739208038456337233119838558626380085
498565705560878421196403997234,4985657055608784211964039972344556458607
79134654,7913465443931965254154829494577875758599
909135440785,9091354407852685476254126683398240534022
185950428839027354946726,1859504288390273549467266764750607264369
160909671920072376,1609096719200723765889422618655048755261
stumbl,stumbled
3631,3631358538902366255728542451601808048716
351291392359545295140743794,3512913923595452951407437943144900950809
359163324709918594252039281808395302043,3591633247099185942520392818083953020434
60938921466869372988119156,6093892146686937298811915601156337012486
86898478111383280549404905,8689847811138328054940490519768008320299
poseido,poseidon
627847713274059557960064834328882786,6278477132740595579600648343288827864837
disaste,disaster
1000660041544868437352208,1000660041544868437352208483059495953182
inexhaust,inexhaustible
1,10
5,501
4747824066992827714006903,4747824066992827714006903166070995147315
78248873502925916682589445,7824887350292591668258944568946559926584
9,90
40212967022208219158,4021296702220821915862905952604040620011
fagot,fagots
686096896846408583341310178581427109554,6860968968464085833413101785814271095541
descripti,description
6690773118001211882997373,6690773118001211882997373198910060609668
6928309,6928309190601737076465465568341320755631
flit,flits
545196756559,5451967565591819686908852834348860508285
glade,glades
32474605224240,3247460522424051972825153787541962759327
51155212468893587328987833626781,5115521246889358732898783362678193617640
39901681,3990168193205624192797728202671429725870
1859504288390273549467266,1859504288390273549467266764750607264369
693196264201404,6931962642014042788365702610390456105151
3901139433166815158288436876069611025,3901139433166815158288436876069611025051
946863533,9468635333917587374465520060088199752940
0354021234078498193,0354021234078498193343210681701210056278
redoubl,redoubled
89717748,8971774811216784160854454400190449242294
26251509748279877799643,2625150974827987779964373089970388867782
impleme,implements
848148810833946900016,8481488108339469000163807910759607455046
2330254086076115859,2330254086076115859321603465240763923593
789456,7894560706151210826614609866204042501058
238129903260,2381299032601981605719711839506627582203
a,and
56299369628,5629936962809358189761491017145343556659
e,electronic
3671,3671800538456378551291718484178415947974
histo,history
i,in
3870648585886462216114103,3870648585886462216114103435703428788629
9227643289360,9227643289360535947903046811114130586348
4702007661807418,4702007661807418914040158148560001030119
m,my
q,quite
u,upon
y,you
wittin,wittingly
euphon,euphoniously
574748,5747483628461680936365097379090020411852
3664,3664528978019175132987747952929099598069
37939907521660692380533698,3793990752166069238053369887956513728559
outstandin,outstanding
gladi,gladiator
00373562527944951582841882947876108526,0037356252794495158284188294787610852639
explanatio,explanation
4985657055608784211964039972344,4985657055608784211964039972344556458607
3682,3682664135541448048997721373174119199970
7656824247864736176671,7656824247864736176671770647002431119711
6770641995391119488812406,6770641995391119488812406598216857871313
711597834583511731682041296,7115978345835117316820412964596707063330
5476269452878051,5476269452878051650172067478541788798227
01964429653,0196442965370643088660925268811549596291
0172939073,0172939073033508690209225191244473932783
2259244561520,2259244561520365608268890193913957991844
conformin,conforming
